monkey_strategy,wolf_strategy,seed,winner,turn_count,start_time,end_time
metric_position,random_spot_win,0,MONKEY,7,2024-08-16T23:00:43.368329,2024-08-16T23:00:43.509692
metric_position,random_spot_win,1,MONKEY,7,2024-08-16T23:00:43.509692,2024-08-16T23:00:43.604130
metric_position,random_spot_win,2,MONKEY,7,2024-08-16T23:00:43.604130,2024-08-16T23:00:43.714201
metric_position,random_spot_win,3,MONKEY,3,2024-08-16T23:00:43.714201,2024-08-16T23:00:43.793078
metric_position,random_spot_win,4,MONKEY,11,2024-08-16T23:00:43.793078,2024-08-16T23:00:44.030182
metric_position,metric_count,0,MONKEY,11,2024-08-16T23:00:44.030182,2024-08-16T23:00:44.148370
metric_position,metric_count,1,MONKEY,7,2024-08-16T23:00:44.148370,2024-08-16T23:00:44.234703
metric_position,metric_count,2,WOLF,14,2024-08-16T23:00:44.234703,2024-08-16T23:00:44.361003
metric_position,metric_count,3,MONKEY,11,2024-08-16T23:00:44.361003,2024-08-16T23:00:44.455460
metric_position,metric_count,4,MONKEY,13,2024-08-16T23:00:44.455460,2024-08-16T23:00:44.648930
metric_position,metric_position,0,WOLF,8,2024-08-16T23:00:44.648930,2024-08-16T23:00:44.785842
metric_position,metric_position,1,WOLF,10,2024-08-16T23:00:44.785842,2024-08-16T23:00:44.942942
metric_position,metric_position,2,WOLF,8,2024-08-16T23:00:44.942942,2024-08-16T23:00:45.069342
metric_position,metric_position,3,WOLF,6,2024-08-16T23:00:45.069342,2024-08-16T23:00:45.163685
metric_position,metric_position,4,WOLF,10,2024-08-16T23:00:45.163685,2024-08-16T23:00:45.273876
metric_position,metric_position_strength,0,WOLF,10,2024-08-16T23:00:45.273876,2024-08-16T23:00:45.383946
metric_position,metric_position_strength,1,WOLF,10,2024-08-16T23:00:45.383946,2024-08-16T23:00:45.495167
metric_position,metric_position_strength,2,WOLF,12,2024-08-16T23:00:45.495167,2024-08-16T23:00:45.659622
metric_position,metric_position_strength,3,WOLF,6,2024-08-16T23:00:45.660723,2024-08-16T23:00:45.746548
metric_position,metric_position_strength,4,WOLF,10,2024-08-16T23:00:45.751160,2024-08-16T23:00:45.841529
